==================================================================================================== 
fname               lname                    test1     test2     test3     test4      avg.     grade
==================================================================================================== 
Johnny              Lang                       100       100       100        98      99.5         
Suzie               Wang                        95        85        75        80     83.75         
Allie               Smith                       85        85        80        82        83         
George              Michael                      0       100       100         0        50         
Henry               Miller                      75        85        82        90        83         
Billie              Jeans                      100        92        83        85        90         
Hillary             Clinton                     90        91        93        95     92.25         
Sally               Railey                      65        70        75        78        72         
Tom                 Jerry                       85        90        97        98      92.5         
Bill                Kool                        65        75        65        66     67.75         
Alice               Wood                        44        75        88        99      76.5         
Alice               Wood                        44        75        88        99      76.5         
**************************************************************************************************** 
