==================================================================================================== 
fname               lname                    test1     test2     test3     test4      avg.     grade
==================================================================================================== 
Johnny              Lang                       100       100       100        98      99.5         A
Tom                 Jerry                       85        90        97        98      92.5         A
Hillary             Clinton                     90        91        93        95     92.25         A
Billie              Jeans                      100        92        83        85        90         A
Suzie               Wang                        95        85        75        80     83.75         B
Henry               Miller                      75        85        82        90        83         B
Allie               Smith                       85        85        80        82        83         B
Alice               Wood                        44        75        88        99      76.5         C
Alice               Wood                        44        75        88        99      76.5         C
Sally               Railey                      65        70        75        78        72         C
Bill                Kool                        65        75        65        66     67.75         D
George              Michael                      0       100       100         0        50         F
**************************************************************************************************** 
